ID,PRED
3643,1
9401,0
17903,1
5198,1
28766,0
4638,0
1487,0
20373,0
9811,0
345,0
5975,0
3286,1
25529,0
4421,0
23973,0
31101,0
28737,0
13321,0
29498,0
21002,1
21366,0
8094,0
11782,0
13855,0
26842,0
26065,0
26127,0
23772,0
1616,1
16643,0
29996,0
23274,1
16917,0
23550,1
29490,0
18341,0
1530,1
28619,0
14100,0
3282,0
28648,1
2507,0
14726,0
27677,0
18598,1
20100,1
28793,0
28008,1
11866,1
15418,1
2649,1
15073,0
11655,0
19955,0
19014,0
28236,1
6149,0
25412,0
3068,1
9169,0
18415,0
7759,0
9870,0
13819,0
27539,0
18245,0
12113,0
25339,0
1331,1
19195,0
29149,0
12883,0
19640,1
8030,0
30808,0
20623,0
9273,1
22945,1
3899,0
9544,1
1923,1
17612,0
23970,0
29234,0
7922,0
30461,0
4032,0
27327,0
26527,1
3578,0
15537,0
196,0
9658,0
13114,1
18002,0
20951,0
20410,0
20050,0
2361,0
20295,0
11177,0
11291,1
9176,1
29270,1
17410,0
20353,0
30283,0
26298,0
16089,1
6847,1
14355,0
19587,0
3820,0
25366,0
25947,0
12347,0
1837,1
15294,0
3049,1
29343,0
5513,0
27774,1
10013,1
4448,0
18043,0
25243,0
13069,0
11566,0
30062,0
6535,0
27441,0
14200,1
20082,0
10814,0
16506,0
28852,0
26674,1
8557,0
31438,0
11743,0
29221,0
13278,0
12287,0
821,1
23768,0
31237,0
19639,0
4903,0
28256,0
30749,0
12114,1
24801,0
15214,0
3833,0
20729,0
20414,0
21098,0
1866,1
30464,1
18498,0
15278,1
28187,0
18669,0
14240,1
6690,0
14770,0
32094,0
30742,0
31601,0
28683,0
6556,0
4667,0
29555,0
16359,0
29164,1
19707,0
21743,0
28964,0
21759,0
29213,0
27275,0
29330,0
27387,0
23746,1
20948,0
7558,0
22474,0
30154,0
30598,0
29023,1
5601,0
18392,0
19401,0
20949,1
19530,0
27130,0
4519,0
21453,0
4877,1
14760,1
14741,0
3132,1
31114,0
15614,1
2885,1
19070,1
8373,0
4502,0
12705,0
3353,0
22722,0
24555,0
17574,0
14704,0
24575,0
12805,1
28608,0
9285,1
12469,0
8049,0
10883,0
28981,0
14762,0
29321,0
2229,1
15482,0
28438,0
21413,0
17723,0
26300,1
19391,0
13040,0
25765,0
20962,0
5688,1
1247,0
5551,0
6522,0
20630,0
17739,1
7781,0
26835,0
3619,0
23342,0
20138,0
18518,0
3921,0
27046,0
25744,1
10476,0
16291,1
14992,0
26472,0
11290,0
31948,0
20413,0
369,1
12761,1
4168,0
31156,0
14930,0
20599,1
24803,0
19946,1
21501,0
24608,0
19134,0
12291,1
24421,0
573,1
8544,0
11489,0
16996,0
1655,1
28526,0
14881,0
83,1
14767,0
16070,1
23436,0
20404,0
23002,0
1516,0
25157,0
23296,0
24924,0
7289,0
4170,0
23757,0
10369,0
16511,0
8672,0
24932,0
28698,1
21024,0
17050,0
23841,0
5467,0
31113,0
19631,0
6863,0
14759,0
18391,0
29085,0
3160,1
23033,0
30328,0
28749,1
5306,0
20712,0
30605,0
31699,0
7484,0
28176,0
28002,0
22948,1
3592,0
9375,1
27304,0
16041,0
7998,0
499,1
14608,0
5026,1
6187,0
8970,0
18092,0
222,1
16695,0
30133,0
24197,1
28188,0
9736,0
27770,0
8889,1
16398,0
2876,1
14856,0
25786,0
10700,0
22799,0
2001,1
17097,1
26639,0
20297,0
5685,0
29479,0
7582,0
5598,0
22681,1
16883,1
32154,0
16316,0
5706,0
15840,0
24145,0
1278,0
22676,0
3780,0
16572,0
15062,0
9849,0
12036,1
23354,0
21331,1
31141,1
15409,0
22957,1
8051,0
14279,0
15652,0
1281,0
408,1
14185,0
4900,1
5570,0
25691,0
1398,1
5771,0
3725,1
6741,0
25754,0
26669,0
2308,1
28571,0
6237,0
31501,0
26040,1
11863,0
3660,1
27614,0
23511,0
23859,0
18586,0
30684,0
31740,1
25980,0
27484,0
24250,0
24500,0
5523,0
15426,0
17891,1
16623,0
15259,0
15348,0
6214,0
11610,0
29271,0
13038,0
20513,0
24643,0
14510,0
25021,1
27676,0
14224,0
18887,0
7886,0
12073,1
1109,0
29876,0
30848,1
7794,0
32106,0
15631,1
1791,1
14085,0
22039,0
21106,0
29422,0
8300,0
16624,1
14118,0
31369,1
18110,0
19651,0
9358,0
6438,1
17766,1
18007,0
26602,0
11024,1
5466,0
23016,0
6672,1
10299,0
4341,1
4058,0
23187,0
17328,0
2208,1
20791,1
2798,1
8057,0
11925,0
7100,0
2425,1
31442,0
10351,0
22674,1
26521,0
216,0
5006,1
17792,0
5114,0
15178,0
23933,0
26821,0
8151,0
9000,0
16664,0
8132,1
22058,0
10421,0
27419,0
4689,0
10370,0
1660,1
29132,0
16169,0
10285,0
2730,1
13020,0
21072,0
21232,0
28810,0
3703,1
23392,0
9226,0
16834,0
11476,0
28476,0
18022,0
22327,1
16222,1
16752,0
20418,1
30618,0
14127,0
5535,0
31913,0
15478,0
13346,0
32261,0
17498,0
12483,1
24341,1
24866,0
27839,0
4419,1
13005,0
18683,0
8141,0
23516,0
5654,0
29532,0
8223,0
23611,0
26899,0
11389,1
12264,0
14921,0
15915,0
13287,1
13484,1
2868,1
14867,0
29306,0
18010,0
31719,0
18728,0
8824,0
17799,0
9138,0
4343,0
1288,0
1912,1
10645,1
20945,0
20591,0
17817,0
10887,1
19712,1
29080,0
18086,1
13098,0
12027,0
7217,0
9194,0
31449,0
27749,1
29337,0
24988,1
11153,0
5576,0
11097,0
3315,1
10422,0
9872,0
26920,0
10981,0
21144,1
23667,0
29137,0
7420,0
4978,0
1456,1
19898,0
26725,0
16937,0
22269,0
8310,1
30338,0
5325,0
5386,0
25015,1
